question_id,statement,human_labels,alternative_label,jaccard_distance,consensus_status,filter_reason,models_supporting_alternative_label,supporting_model_count
45,"That is , all these different experts from around the world — China , Russia , Canada , the U.S. , Italy , etc . — have been looking closely at different aspects of the global warming puzzle in various regions and on different timescales and come to the conclusion in irreproachable , peer-reviewed scientific ways that there is no evidence to support the global warming scare story .",equivocation; intentional,ad populum,0.6336111079901456,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,10
45,"That is , all these different experts from around the world — China , Russia , Canada , the U.S. , Italy , etc . — have been looking closely at different aspects of the global warming puzzle in various regions and on different timescales and come to the conclusion in irreproachable , peer-reviewed scientific ways that there is no evidence to support the global warming scare story .",equivocation; intentional,appeal to emotion,0.6336111079901456,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,9
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,false dilemma,0.7666666630655528,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai/grok-4-fast-thinking,9
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,fallacy of logic,0.7666666630655528,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5,6
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,faulty generalization,0.7666666630655528,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,6
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,false causality,0.7666666630655528,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,ad hominem,0.670972220102946,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,appeal to emotion,0.670972220102946,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,9
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,false dilemma,0.670972220102946,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,9
50,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .",appeal to emotion; fallacy of credibility,ad hominem,0.5755555495619774,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,10
50,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .",appeal to emotion; fallacy of credibility,faulty generalization,0.5755555495619774,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-oss-120b,5
51,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",fallacy of credibility,false causality,0.7336111071209113,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
51,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",fallacy of credibility,faulty generalization,0.7336111071209113,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-pro-non; openai/gpt-5; openai/gpt-oss-120b; x-ai_grok-4-fast,6
53,“ Global warming ” is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017 .,fallacy of credibility; intentional,faulty generalization,0.6308333278944095,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
53,“ Global warming ” is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017 .,fallacy of credibility; intentional,ad populum,0.6308333278944095,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,7
54,History advises us to welcome warmth and fear cold .,fallacy of credibility,faulty generalization,0.6298611054817835,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
54,History advises us to welcome warmth and fear cold .,fallacy of credibility,appeal to emotion,0.6298611054817835,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,faulty generalization,0.7354166641831398,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,9
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,false causality,0.7354166641831398,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,8
57,"Even the modern godfather of global warming , ex-NASA Goddard Institute for Space Studies director James Hansen , has admitted that the Paris climate agreement is “ a fraud really , a fake. ”",fallacy of credibility,appeal to emotion,0.7897222198545932,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
57,"Even the modern godfather of global warming , ex-NASA Goddard Institute for Space Studies director James Hansen , has admitted that the Paris climate agreement is “ a fraud really , a fake. ”",fallacy of credibility,fallacy of relevance,0.7897222198545932,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b,5
58,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",appeal to emotion; fallacy of extension; intentional,false causality,0.5836111056307952,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
58,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",appeal to emotion; fallacy of extension; intentional,fallacy of relevance,0.5836111056307952,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9
58,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",appeal to emotion; fallacy of extension; intentional,faulty generalization,0.5836111056307952,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,appeal to emotion,0.7606944426894188,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking,10
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,ad hominem,0.7606944426894188,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai_grok-4-fast,8
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,faulty generalization,0.7606944426894188,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,7
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,fallacy of credibility,0.7606944426894188,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-thinking; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,5
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,appeal to emotion,0.7587499967465798,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,10
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,ad hominem,0.7587499967465798,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai_grok-4-fast,7
61,"If barren ecosystems constitute an ideal planet , then the alarmist fears of more plant life make sense . On the contrary , global warming realists understand a climate more conducive to richer , more abundant plant life is beneficial rather than harmful .",fallacy of extension,false dilemma,0.6131944406777621,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
61,"If barren ecosystems constitute an ideal planet , then the alarmist fears of more plant life make sense . On the contrary , global warming realists understand a climate more conducive to richer , more abundant plant life is beneficial rather than harmful .",fallacy of extension,ad hominem,0.6131944406777621,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; openai/gpt-oss-120b,5
62,"This attribution error evokes one of Mr. Koonin ’ s rare rebukes : “ Pointing to hurricanes as an example of the ravages of human-caused climate change is at best unconvincing , and at worst plainly dishonest . ”",fallacy of extension,ad hominem,0.7524999968707562,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,10
62,"This attribution error evokes one of Mr. Koonin ’ s rare rebukes : “ Pointing to hurricanes as an example of the ravages of human-caused climate change is at best unconvincing , and at worst plainly dishonest . ”",fallacy of extension,false dilemma,0.7524999968707562,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,8
62,"This attribution error evokes one of Mr. Koonin ’ s rare rebukes : “ Pointing to hurricanes as an example of the ravages of human-caused climate change is at best unconvincing , and at worst plainly dishonest . ”",fallacy of extension,appeal to emotion,0.7524999968707562,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; x-ai_grok-4-fast,6
62,"This attribution error evokes one of Mr. Koonin ’ s rare rebukes : “ Pointing to hurricanes as an example of the ravages of human-caused climate change is at best unconvincing , and at worst plainly dishonest . ”",fallacy of extension,fallacy of credibility,0.7524999968707562,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,6
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,fallacy of extension; faulty generalization,equivocation,0.7806944418698549,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507,6
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,fallacy of extension; faulty generalization,fallacy of relevance,0.7806944418698549,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,6
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,fallacy of extension; faulty generalization,false dilemma,0.7806944418698549,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking,6
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,fallacy of extension; faulty generalization,false causality,0.7806944418698549,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension; intentional,appeal to emotion,0.6979166623204947,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension; intentional,ad hominem,0.6979166623204947,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking,6
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension; intentional,faulty generalization,0.6979166623204947,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai_grok-4-fast,5
66,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines .",fallacy of extension,ad hominem,0.6211111074934403,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
66,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines .",fallacy of extension,faulty generalization,0.6211111074934403,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507,10
66,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines .",fallacy of extension,appeal to emotion,0.6211111074934403,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",appeal to emotion; fallacy of extension; intentional,false dilemma,0.5944444409261147,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,7
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",appeal to emotion; fallacy of extension; intentional,ad hominem,0.5944444409261147,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",appeal to emotion; fallacy of extension; intentional,fallacy of credibility,0.5944444409261147,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,6
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",appeal to emotion; fallacy of extension; intentional,faulty generalization,0.5944444409261147,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20,5
68,"At six , according to an assessment focused only on effects within the U.S. from the National Oceanic and Atmospheric Administration , summer labor of any kind would become impossible in the lower Mississippi Valley , and everybody in the country east of the Rockies would be under more heat stress than anyone , anywhere , in the world today . As Joseph Romm has put it in his authoritative primer Climate Change : What Everyone Needs to Know , heat stress in New York City would exceed that of present-day Bahrain , one of the planet ’ s hottest spots , and the temperature in Bahrain “ would induce hyperthermia in even sleeping humans. ”",fallacy of logic,appeal to emotion,0.6115277711302042,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
68,"At six , according to an assessment focused only on effects within the U.S. from the National Oceanic and Atmospheric Administration , summer labor of any kind would become impossible in the lower Mississippi Valley , and everybody in the country east of the Rockies would be under more heat stress than anyone , anywhere , in the world today . As Joseph Romm has put it in his authoritative primer Climate Change : What Everyone Needs to Know , heat stress in New York City would exceed that of present-day Bahrain , one of the planet ’ s hottest spots , and the temperature in Bahrain “ would induce hyperthermia in even sleeping humans. ”",fallacy of logic,false causality,0.6115277711302042,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
